番号,英単語,意味
1862,cautious,注意深い；用心している
1863,sanction,制裁（措置）；（法的）認可
1864,sober,酔っていない；節度のある; 真面目な
1865,sin,（宗教、道徳上の）罪
1866,pious,信心深い、敬虔な
1867,ethics,倫理学（観）；道徳（律）
1868,dogmatic,独断的な、（宗教などの）教義上の
1869,curse,のろい；ののしり言葉；災いのもと
1870,contempt,軽べつ
1871,linger,ぐずぐずする、なかなかなくならない、長引く、いつまでも物思いにふける
1872,sullen,むっつりした；（天気などが）陰気な
1873,nuisance,迷惑な行為や人；神経をいらいらさせる人（物）
1874,treasure,財宝、富、財産；貴重品；大事な人
1875,company,同席すること；仲間；来客；会社
1876,worldwide,世界的な
1877,wildlife,（集合的に）野生生物
1878,well,井戸；源泉；油井；くぼみ
1879,universal,普遍的な；全員の；万能の；宇宙の；世界中の
1880,planet,惑星；（our ～）（私たちの住む惑星）地球
1881,settle,定住する；落ち着く；沈む
1882,rural,田舎の；農村、田園の
1883,typhoon,台風
1884,tropical,熱帯の；熱烈な
1885,estimate,見積もり、見積もること
1886,assume,～を想定する；～を引き受ける；～を当然だと思う；～を装う;～の態度をとる
1887,witness,～を目撃する；～を証言する
1888,stable,安定した、しっかりした
1889,mission,任務、使命；使節団；伝道、布教
1890,assure,～を保証する；～に確信させる
1891,mine,鉱山；（知識などの）宝庫
1892,crew,乗組員、乗務員；一団
1893,coin,（新語など）をつくる；（硬貨）を鋳造する
1894,client,依頼人；（知的サービスを受ける）客
1895,drift,漂流する
1896,emission,（ガス・熱・光などの）排出、放出
1897,chore,日常の雑事、日課、つまらない仕事；（～s）毎日の決まりきった仕事
1898,nightmare,悪夢、恐ろしい出来事
1899,doom,～を運命づける
1900,cradle,ゆりかご；（the～で）幼年時代
1901,revive,生き返る；意識が回復する；よみがえる
1902,posterity,後世（の人々）；子孫
1903,ban,（法律などで）～を禁止する
1904,obsolete,すたれた、時代遅れの、古くさい
1905,bump,（ドンと）ぶつかる；（人に）ばったり会う
1906,delusion,妄想、錯覚；欺くこと
1907,apparent,［通常、叙述用法で］明白な；［通常、限定用法で］見たところ～らしい
1908,differ,異なる、意見が合わない、違う
1909,frank,率直な
1910,misleading,人の判断を誤らせる、誤解を招きやすい、まぎらわしい
1911,horrible,恐ろしい、身の毛のよだつような、ひどく不快な
1912,severe,厳しい、ひどい、厳格な
1913,value,価値（観）；重要性
1914,useless,役に立たない、無駄な；劣っている
1915,clear,澄んだ、晴れた；明らかな；はっきりした；確信した；妨げるものがない
1916,capable,（～することが）できる［能力がある］；有能な
1917,remove,～を取り除く；～を移動させる；～を脱ぐ；～を解任する、～を解雇する
1918,stream,小川；流れ
1919,roll,転がる；進む、走る
1920,assign,～を割り当てる；～を任命する
1921,suppress,～を抑える、～を鎮める；（笑いなど）を我慢する
1922,abstain,控える；棄権する (共にabstain fromの形で用いる）
1923,regulate,～を規制する；～を調整する
1924,confine,～を（...に）制限する；～（人）を（自由がきかない所に）閉じ込める
1925,resign,～を辞職する、～を断念する；～を放棄する；～に甘んじて従う
1926,restrict,～を制限する；～を（...に）限定する
1927,strain,緊張（状態）、負担；過労
1928,intrude,押し入る、入り込む；侵害する
1929,distract,～の気をそらす
1930,barrier,障害；防壁
1931,tuition,授業料；指導、教授
1932,fee,謝礼、料金
1933,digit,数字
1934,circulation,循環；流通；発行部数；（情報などが）広まること
1935,bankrupt,倒産した
1936,renounce,～を放棄する；～を絶交する
1937,obstruct,～を妨害する、～をふさぐ、～をさえぎる
1938,scene,場面；現場；眺め、光景；大騒ぎ
1939,typical,典型的な；特有の
1940,similar,類似した
1941,imitate,～を真似する、～を模倣する
1942,irrigation,灌漑（かんがい）
1943,desert,～を見捨てる
1944,sterile,不妊の；不毛の；殺菌した
1945,condition,状況；状態；条件
1946,circumstance,（周囲の）状況、事情；（経済的な）生活状態；（人の）境遇；生活事情
1947,wheat,小麦
1948,taste,味、味覚；好み、趣味
1949,clue,（問題などを解く）手がかり
1950,abstract,抽象的な
1951,gratitude,感謝の気持ち
1952,victim,犠牲者、被害者；えじき、いけにえ
1953,toil,骨折り仕事；苦労
1954,threat,脅迫、脅かすもの；（悪い）きざし
1955,suicide,自殺
1956,rescue,救助、救出
1957,up-to-date,現代的な；最新の
1958,temporary,一時の、つかの間の、仮の
1959,ultimate,究極（的）の；最終（的）の；最高の
1960,sometime,いつか、そのうち
1961,ruthless,情け容赦のない；毅然とした
1962,momentary,瞬間的な；つかの間の
1963,durable,長持ちする、耐久力のある
1964,convenient,（ものなどが）便利な；都合のよい；（場所などが）便利な；（駅などに）近い
1965,assent,賛成する
1966,disarm,～の武装解除をする；～を無力にする
1967,confound,～を困惑させる；～を混同する
1968,humility,謙遜
1969,grumble,不平を言う
1970,countenance,顔つき、容貌；落ち着き、平静
1971,prevent,～を防ぐ；(～が...するの）を妨げる
1972,remark,～と述べる；～に気づく、～に注意する
1973,recognize,～を認める；～に覚えがある；～が誰だかわかる；～を表彰する
1974,apply,～を適用する、～を応用する；（薬や化粧品など）を塗る
1975,care,（否定文、疑問文、条件文で）いやと思う；気にかける；（～を）気にする
1976,inform,～に知らせる
1977,comfort,快適さ；慰め；慰めをあたえてくれるもの［人］；安らぎ
1978,express,はっきりした；急行の、速達便の
1979,civilization,文明；文明化；文化的生活
1980,audience,聴衆、視聴者、聴衆者、読者
1981,delicate,繊細な、かよわい；（問題などが）微妙で扱いにくい；思いやりのある
1982,dead,まったく、突然、すっかり
1983,deceased,（the～）故人
1984,somebody,重要人物；大した人物、大物
1985,oppose,～に反対する；～を（～に）対立させる
1986,excel,より勝る、秀でている、卓越する
1987,defect,欠点、欠陥
1988,mature,大人の、成熟した；（果実などが）熟した
1989,flee,～から逃げる
1990,apologize,謝る、謝罪する
1991,scold,～を叱る
1992,ape,猿、類人猿
1993,anthropology,人類学
1994,adolescence,青春期［時代］、思春期；発展期
1995,contrive,～を考案する；～をたくらむ
1996,undergo,（不愉快なこと、苦しいこと）を経験する、（検査、治療など）を受ける
1997,stumble,つまずく、よろける；偶然出くわす
1998,speculate,推測する、熟考する；投機をする
1999,insure,～に保険をかける；～を保証する
2000,refrigerator,冷蔵庫
2001,pastime,気晴らし；娯楽、趣味
2002,fuss,騒ぎ立てる、ちやほやする、やきもきする
2003,throng,群衆、多数の人々
2004,questionnaire,アンケート（用紙）
2005,collect,～を集める（収集する）
2006,ready,準備ができて；喜んで［進んで］～する；即座の、巧みな
2007,hinder,～を妨げる、～の邪魔をする
2008,indicate,～を指し示す；～を明らかにする；～をほのめかす
2009,picture,イメージ；生き写し；絵；写真；映画
2010,suspect,～を怪しいと思う、～を疑う；（～だ）と思う；～に容疑をかける
2011,suppose,～だと思う、～だと仮定［推測］する；もし～だとしたら
2012,viewpoint,観点、立場；見える地点
2013,view,眺め、風景；視野、視界；意見、考え、意図；見通し；視力、視覚
2014,warn,～に警告する；～に通知する
2015,lend,（物・金・力など）を貸す
2016,per,～あたり、～につき
2017,borrow,～を借りる；（言葉など）を取り入れる；（もの）を（無料で）借りる
2018,singular,非凡な、まれにみる；単数の；別々の
2019,spell,（活動や天候の）期間、短い時間；呪文、魔法
2020,injure,～を傷つける、～に害を与える
2021,frighten,～をおびえさせる、～をびっくりさせる
2022,cynical,冷笑的な；皮肉な
2023,prey,えじき；犠牲
2024,flame,炎、激情
2025,reportedly,伝えられるところでは
2026,issue,～を発行する、（命令など）を発する；（政府などが）～を支給する
2027,retire,退職する；引き下がる；床につく
2028,scorn,～を軽蔑する
2029,riddle,謎、不可解なもの［人］
2030,prophecy,予言、預言
2031,outlook,眺望；見通し；見解、態度
2032,foretell,～を予言する
2033,foresee,～を予測する
2034,anticipate,～を予想する、～を予期する；～を楽しみにして待つ
2035,aviation,航空（学）
2036,pregnant,妊娠している；意味深長な、含蓄のある；～で満ちた
2037,carve,～を彫る；（運・人生など）を切り開く
2038,fulfill,～を果たす、（要求・目的）に添う、（要求など）を満たす
2039,deny,～を否定する、～を（...に）与えない
2040,approve,～に賛成する、～を是認する、～を承認する、～を認める
2041,punish,～を罰する
2042,alarm,～をはっとさせる；～を不安にさせる
2043,adapt,～を適応、順応させる
2044,fault,欠点；責任
2045,policy,政策、方針；手段；保険証書
2046,common,共通の；ありふれた；公共の；共有の
2047,community,地域社会；（利害などを共にする）共同社会、集団
2048,class,階級；階層；クラス；授業
2049,role,役割、任務；（役者の）役
2050,slave,奴隷
2051,electric,電気の、電動の
2052,phenomenon,現象；驚くべき事（物、才能、人）
2053,scheme,計画；たくらみ、陰謀
2054,timber,材木；森林
2055,tissue,（細胞からなる動植物の）組織；ティッシュペーパー
2056,commerce,商業；貿易；通商
2057,item,（ニュースなどの）ねた、記事；品物；品目、項目、箇条
2058,fundamental,基本的な、根本的な、抜本的な
2059,modernization,近代化、現代化
2060,creed,信条
2061,notorious,悪名高い；悪いことでよく知られた
2062,bald,（頭が）はげた、（木が）葉のない；味けのない、ありのままの
2063,resort,（手段に）訴える；（楽しい所へ）しばしば行く
2064,pension,年金、恩給
2065,output,生産高；（コンピューターなどの）出力
2066,classify,～を分類する
2067,immune,免疫のある、（～を）免れた
2068,vessel,容器、器；大型の船；（血）管
2069,blast,爆発；突風
2070,solve,（問題など）を解く、～を解決する
2071,grade,等級；学年；成績
2072,literate,読み書きのできる、教養のある、文学に通じた
2073,acknowledge,～を認める
2074,absurd,ばかげた、滑稽な； 不合理な
2075,aim,＜人が＞～することを目指す；狙う
2076,evidence,証拠、（事実を示す）形跡
2077,evident,明白な、明らかな
2078,specific,具体的な、明確な；特定の
2079,latter,後の方の；（時間的に）後半の～；後者の～
2080,frequent,たびたびの、頻繁に起こる
2081,contemporary,現代の；同時代の
2082,continue,～を続ける
2083,date,日付、デート
2084,reflect,熟考する、回想する
2085,misery,悲惨さ；苦痛、苦難；惨めさ、不幸
2086,blank,白紙の；無表情な；空白の
2087,odd,変わった；片方の；奇数の；端数の；少しの；臨時の
2088,perceive,～を（五感で）知覚する；～に気づく；～を理解する
2089,release,～を解放する；～を放つ；～を公開する；～を発売する
2090,attribute,～のせいにする；（作品など）を（...の）手によると考える
2091,invade,～に侵入する、～を侵害する
2092,fierce,どう猛な、激しい；厳しい
2093,trifle,くだらない物；少量
2094,outlet,出口；（感情などの）はけ口
2095,outcome,結果、成果
2096,embark,着手する；乗船する
2097,breakthrough,（科学上の）大発見；突破口
2098,birthrate,出生率
2099,compartment,区画；（鉄道の）仕切り客室
2100,abortion,（妊娠）中絶
2101,orbit,軌道、行路；範囲
2102,individual,個人的な、個々の、特有の、個性的な
2103,rumor,噂、風評
2104,ring,（鐘・ベル・電話などの）鳴る音、電話をかけること；指輪、輪
2105,occasion,場合、時；出来事；機会；行事、式；（～をする）理由、根拠
2106,lot,くじ；運命；区画；ひと山；（～な）やつ；たくさんのこと
2107,folk,人々；家族
2108,admire,～を賞賛する；～に感嘆する
2109,attract,～を引きつける、～を魅了する
2110,attach,～をくっつける、取り付ける；～に愛着を持たせる
2111,acquire,～を獲得する；～を習得する
2112,book,～を予約する
2113,tendency,傾向、風潮
2114,trend,傾向；流行
2115,upcoming,今度の、近づく、やってくる
2116,emergency,非常事態、緊急事態
2117,greed,どん欲、どん欲さ
2118,prospect,候補者；(～s)（成功する）見込み；将来性；可能性
2119,shrine,神社、祭壇
2120,emphasize,～を強調する、～に重点を置く
2121,contemplate,～を熟考する；～をじっと見つめる；～をよく考える
2122,predict,～を予言する；～と予測する
2123,notice,～に気づく；～に通知（通告）する；～に言及する
2124,resume,～を再び始める；～を取り戻す
2125,detect,～を見抜く、～を見つけ出す
2126,fetch,～をとってくる
2127,coerce,～を強制する
2128,undertake,～を引き受ける；～をはじめる
2129,partake,参加する；（～の）性質がいくぶんある
2130,grant,～を認める；～を与える、～をかなえる
2131,petrol,（イギリス用法）ガソリン
2132,dignity,威厳、気品、尊厳
2133,induce,～を説いて...する気にさせる；～を誘引する；～を帰納する
2134,bid,～に命令する；（競売、入札などで）値を付ける
2135,recommend,～を推薦する; ～に（～することを） 勧める
2136,permit,～を許す
2137,fail,～を怠る、～に役立たない；（試験など）を落とす
2138,expect,～を予期する；～を期待する；～だろうと思う
2139,achieve,～を成し遂げる；～を獲得する
2140,proper,適切な、ふさわしい；正式の；礼儀正しい
2141,objective,客観的な
2142,fruitful,実りの多い、有益な；肥沃な
2143,voyage,船旅、航海；人生行路
2144,wheel,車輪；（自動車の）ハンドル
2145,change,つり銭、小銭；変化；変更
2146,accomplish,～を成し遂げる；～を達成する
2147,faith,信頼、信用；信仰；誓約
2148,element,要素；元素；（the～sで）自然の力；少量、気味
2149,union,労働組合；結合、団結；一致；連邦
2150,calculate,～を計算する；～を予想する；～と判断［推定］する
2151,device,装置、工夫、道具；策略
2152,stroll,ぶらつく、散歩する、放浪する
2153,accessory,アクセサリー；装飾品；付属品
2154,leisure,余暇、自由時間
2155,enterprise,事業；企業；進取の気性
2156,quality,質、質の良さ；特性、特質
2157,qualify,～に資格を与える
2158,leak,漏れる
2159,dismay,～を狼狽させる、～を失望させる
2160,dissuade,～に（...することを）思いとどまらせる
2161,ensure,～を保証する、～を確保する、～を確実にする
2162,entitle,（人）に資格を与える、～に権利を与える；～に表題を付ける
2163,obscure,あいまいな、不明瞭な；無名の；人目に付かない、よく聞き取れない
2164,sacrifice,犠牲、いけにえ［捧げ物］
2165,confirm,～を確かめる；～（意見など）を（さらに強く）固める
2166,bestow,～を授ける、授与する
2167,install,（装置など）を取り付ける；～を任命する
2168,lumber,材木
2169,sour,すっぱい；不愉快な、気むずかしい
2170,confuse,～を混同する；～を当惑させる
2171,calm,（天候・海などが）穏やかな；（人・態度などが）冷静な
2172,ache,痛み
2173,ease,容易さ、気楽さ
2174,conscious,意識している；意識のある；意識して；気づいている；～に対する意識が高い［強い］；～を気にする；意識的［意図的］な
2175,earnest,まじめな、熱心な
2176,brave,勇気のある；勇敢な
2177,method,（組織だった）方法；筋道、体系、秩序
2178,manner,態度；方法、やり方；流儀、作風；（～s）行儀、作法；（～s）風習
2179,medium,中間；媒体、手段、方法；（複数形mediaで）報道機関、マス・メディア
2180,means,（単・複数扱い）手段、方法；（複数扱い）(生活手段としての）財産、収入
2181,correspond,一致する；相当する；文通する
2182,neglect,～を無視する、～を怠る；～に十分な世話をしない
2183,ascertain,～を確認する、～を確かめる
2184,prompt,～を促す、～を刺激する
2185,passive,消極的な、受け身の；言いなりになる；おとなしい
2186,pour,～を注ぐ；（言葉など）を浴びせる；～をどっと出す
2187,remedy,治療；改善策、方法
2188,elaborate,入念な、凝った
2189,guarantee,～を保証［約束］する
2190,commute,通勤、通学する
2191,fare,（交通機関の）運賃、料金
2192,reckon,～を計算する、～を（...だと）考える、～と推測する
2193,embarrass,～を当惑させる、～を困らせる、～に恥ずかしい思いをさせる
2194,distress,苦悩；貧困
2195,devote,～を捧げる、～を費やす
2196,detest,～をひどく嫌う
2197,betray,（秘密など）をもらす；～を裏切る；～が表情（表）に出す
2198,ponder,～を熟考する、～を（するかどうか）あれこれ考える
2199,sociology,社会学
2200,ideology,（政治的・社会的な）思想、イデオロギー
2201,asset,財産；貴重なもの
2202,subscribe,～を寄付する；～に署名する；予約購読する
